"1001 Minigolf Challenge ",2006,"SELECTSOFT PUBLISHING
","WINDOWS
"
"1001 Nights of DOOM ",1995,"WICKED SENSATIONS INC.
","DOS
"
"1001 Nights: The Adventures of Sindbad ",2009,"ALAWAR ENTERTAINMENT INC.
","MACINTOSH
WINDOWS
"
"1001 Tangram Puzzles  ",2006,"SELECTSOFT PUBLISHING
","WINDOWS
"
"100 Action Arcade Games Volume 2 ",1999,"GLOBAL STAR SOFTWARE LTD.
","WINDOWS 3.X
"
"100% Classics 2 ",2005,"BUTTERFLY-MEDIASOFT
","DOS
WINDOWS
"
"100% Dynamite ",1990,"OCEAN SOFTWARE LTD.
","AMSTRAD CPC
COMMODORE 64
ZX SPECTRUM
"
"100games: Luchsie fermy ",2010,"GAME FACTORY INTERACTIVE LTD.
RUSSOBIT-M
","WINDOWS
"
"100-in-one Klik & Play Pirate Kart ",2007,"GLORIOUS TRAINWRECKS
","WINDOWS
"
"100 Smash Win95 Games ",1998,"THE LEARNING COMPANY INC.
","WINDOWS
"
"100th Anniversary of the Crossword Puzzle ",2013,"GOOGLE INC.
","BROWSER
"
"101 Dalmatians: Escape From DeVil Manor ",1997,"DISNEY INTERACTIVE INC.
","WINDOWS
WINDOWS 3.X
"
"101-kaime no Approach Shot ",1992,"SANTA FE
","PC-98
"
"101: The Airborne Invasion of Normandy ",1998,"EMPIRE INTERACTIVE ENTERTAINMENT
","WINDOWS
"
"1066 ",2009,"CHANNEL FOUR TELEVISION CORPORATION
","BROWSER
"
"1080? Avalanche ",2003,"NINTENDO CO. LTD.
NINTENDO OF AMERICA INC.
NINTENDO OF EUROPE GMBH
","GAMECUBE
"
"1080? Snowboarding ",1998,"NINTENDO CO. LTD.
NINTENDO OF AMERICA INC.
NINTENDO OF EUROPE GMBH
","NINTENDO 64
WII
"
"10 Action Packed PC Games: All Action ",2007,"GRABIT
","WINDOWS
"
"10 Amazingly Awful Games ",2011,"BODDICKER GAMES
","XBOX 360
"
"10 Computer Hits  ",1985,"BEAU JOLLY
","COMMODORE 64
"
"10 Computer Hits 1 ",1985,"BEAU JOLLY
","ZX SPECTRUM
"
"10 Computer Hits 2 ",1986,"BEAU JOLLY
","COMMODORE 64
"
"10 Computer Hits 2 ",1986,"BEAU JOLLY
","ZX SPECTRUM
"
"10 Computer Hits 3 ",1987,"BEAU JOLLY
","ZX SPECTRUM
"
"10 Computer Hits 3 ",1986,"BEAU JOLLY
","COMMODORE 64
"
"10 Computer Hits 4 ",1987,"BEAU JOLLY
","ZX SPECTRUM
"
"10 Computer Hits 4 ",1987,"BEAU JOLLY
","COMMODORE 64
"
"10 Computer Hits 4 ",1987,"BEAU JOLLY
","BBC MICRO
ELECTRON
"
"10 Computer Hits 5 ",1989,"BEAU JOLLY
","ZX SPECTRUM
"
"10 Days Under the Sea ",2008,"AKELLA
FLYWHEEL GAMES
","WINDOWS
"
"10 Great Games ",1987,"GREMLIN GRAPHICS SOFTWARE LTD.
","COMMODORE 64
ZX SPECTRUM
"
"10 Great Games ",1991,"UBI SOFT ENTERTAINMENT SOFTWARE
","AMIGA
ATARI ST
DOS
"
"10 Great Games ",1994,"TELSTAR FUN AND GAMES
","DOS
"
"10 Great Games 3 ",1988,"GREMLIN GRAPHICS SOFTWARE LTD.
","ZX SPECTRUM
"
"10 Great Games 3 ",1988,"GREMLIN GRAPHICS SOFTWARE LTD.
","COMMODORE 64
"
"10 Great Games II ",1988,"GREMLIN GRAPHICS SOFTWARE LTD.
","ZX SPECTRUM
"
"10 Great Games Just For Dad! ",2004,"IDIGICON LIMITED
","WINDOWS
"
"10 Jahre Interaktive Unterhaltung: Westwood Studios - Teil 1: 1985-1995 ",1995,"VIRGIN INTERACTIVE ENTERTAINMENT [EUROPE] LTD.
","DOS
"
"10... Knockout! ",1985,"AMERSOFT
","COMMODORE 64
"
"10 Mega Games Volume One ",1988,"GREMLIN GRAPHICS SOFTWARE LTD.
","AMSTRAD CPC
ZX SPECTRUM
"
"10 Mega Games Volume One ",1988,"GREMLIN GRAPHICS SOFTWARE LTD.
","COMMODORE 64
"
"10 Mega Hits ",1985,"BEAU JOLLY
","ZX SPECTRUM
"
"10 Megahits Vol. 2 ",1990,"UBI SOFT ENTERTAINMENT SOFTWARE
","AMIGA
ATARI ST
"
"10 Megahits Vol. 3 ",1991,"UBI SOFT ENTERTAINMENT SOFTWARE
","AMIGA
"
"10 Minute Solution ",2010,"ACTIVISION VALUE PUBLISHING INC.
","WII
"
"10-Pin Bowling ",1999,"MAJESCO SALES INC.
","GAME BOY COLOR
"
"10-Pin Bowling ",1984,"CDS MICROSYSTEMS
","COMMODORE 64
"
"1? Ritter: Auf der Suche nach der hinrei?enden Herzelinde ",2008,"WARNER BROS. INTERACTIVE ENTERTAINMENT INC.
","WINDOWS
"
"10 Seconds or Less ",2010,"UNKNOWN PUBLISHER{S}
","XBOX 360
"
"10six Online ",1998,"SEGASOFT INC.
","WINDOWS
"
"10 Spiele-Hits Vol. 1 ",2003,"MEDIA VERLAGSGESELLSCHAFT MBH
","WINDOWS
WINDOWS 3.X
"
"10 Spiele-Hits Vol. 2 ",2004,"MEDIA VERLAGSGESELLSCHAFT MBH
","WINDOWS
"
"10 Talismans ",2006,"NEVOSOFT
REALARCADE
","IPAD
IPHONE
WINDOWS
"
"10th Frame ",1986,"ERBE SOFTWARE
S.A.
ACCESS SOFTWARE INC.
U.S. GOLD LTD.
","AMSTRAD CPC
ATARI ST
COMMODORE 64
DOS
MSX
ZX SPECTRUM
"
"10 Tons of Games: Mega Collection 1 ",1997,"UNKNOWN PUBLISHER{S}
","DOS
WINDOWS
WINDOWS 3.X
"
"10 Top-Hits: Super-Spiele ",1997,"W.A.S. MEDIEN PRODUKTIONS GMBH
","DOS
WINDOWS
WINDOWS 3.X
"
"10-Yard Fight ",1983,"IREM CORP.
NINTENDO OF AMERICA INC.
","ARCADE
MSX
NES
"
"118 118 Nummerjakten ",1999,"E-GAME AB
","WINDOWS
"
"1193 Anno Domini: Merchants and Crusader ",2001,"BLACKSTAR INTERACTIVE GMBH
","WINDOWS
"
"1+1 Bonus Pack ",2009,"THE ADVENTURE COMPANY
","WII
"
"The 11th Hour ",1995,"VIRGIN INTERACTIVE ENTERTAINMENT [EUROPE] LTD.
OZACQ1 INC.
VIRGIN INTERACTIVE ENTERTAINMENT INC.
","DOS
MACINTOSH
WINDOWS
"
"12 ",2008,"PHOENIX GAMES B.V.
","NINTENDO DS
"
"1213: Episode 1 ",2005,"FULLY RAMBLOMATIC
","WINDOWS
"
"1213: Episode 2 ",2006,"FULLY RAMBLOMATIC
","WINDOWS
"
"1213: Episode 3 ",2006,"FULLY RAMBLOMATIC
","WINDOWS
"
"1213: Special Edition ",2006,"FULLY RAMBLOMATIC
","WINDOWS
"
"1-2-3 Bumblebee ",2005,"UNKNOWN PUBLISHER{S}
","WINDOWS
"
"123 Free Memory Card Games ",2003,"UNKNOWN PUBLISHER{S}
","WINDOWS
"
"123 Free Puzzle ",2003,"UNKNOWN PUBLISHER{S}
","WINDOWS
"
"123 Free Solitaire For Children ",2003,"UNKNOWN PUBLISHER{S}
","WINDOWS
"
"1... 2... 3... KICK IT! Drop That Beat Like an Ugly Baby ",2011,"DEJOBAAN GAMES
LLC
","WINDOWS
"
"1250+ Games ",2000,"FOCUS MULTIMEDIA LTD.
","WINDOWS
"
"12 O'Clock High: Bombing the Reich ",1999,"TAKE-TWO INTERACTIVE SOFTWARE INC.
TALONSOFT INC.
","WINDOWS
"
"12th Century BlackJack ",2002,"UNKNOWN PUBLISHER{S}
","WINDOWS
"
"1337 Ship Deathmatch ",2009,"1337 PWNAGE
","WINDOWS
XBOX 360
"
"13 Ghosts ",1984,"TANDY CORPORATION
","TRS-80
"
"1503 A.D.: The New World ",2002,"DEEP SILVER
ELECTRONIC ARTS INC.
ELECTRONIC ARTS LTDA.
","WINDOWS
"
"1503 A.D.: Treasures, Monsters and Pirates ",2004,"DEEP SILVER
SUNFLOWERS INTERACTIVE ENTERTAINMENT SOFTWARE GMBH
","WINDOWS
"
"1552 Tenka Tairan ",1993,"ASK KODANSHA CO. LTD.
","TURBOGRAFX CD
"
"15 Days ",2009,"DTP ENTERTAINMENT AG
","WINDOWS
"
"15 Giant Games Vol.1 ",2004,"JOWOOD PRODUCTIONS SOFTWARE AG
","WINDOWS
"
"15 Move Hole Puzzle ",1994,"UNKNOWN PUBLISHER{S}
","DOS
"
"15 Puzzle ",2009,"SNOWCAP GAMES
","XBOX 360
"
"15 x 15 ",1996,"IFTECH SOFTWARE AB
","DOS
"
"16 ",1996,"UNKNOWN PUBLISHER{S}
","DOS
"
"1602 A.D. ",1999,"AK TRONIC SOFTWARE & SERVICES GMBH
GT INTERACTIVE SOFTWARE CORP.
SUNFLOWERS INTERACTIVE ENTERTAINMENT SOFTWARE GMBH
UBISOFT GMBH
","WINDOWS
"
"16 Bit Hit Machine ",1991,"GREMLIN GRAPHICS SOFTWARE LTD.
","AMIGA
"
"16t ",1991,"SEGA ENTERPRISES LTD.
","GENESIS
"
"1701 A.D. ",2006,"AK TRONIC SOFTWARE & SERVICES GMBH
ASPYR MEDIA INC.
DEEP SILVER
N3VRF41L PUBLISHING
ND GAMES
SUNFLOWERS INTERACTIVE ENTERTAINMENT SOFTWARE GMBH
UBISOFT ENTERTAINMENT SA
","WINDOWS
"
"1701 A.D.: Gold Edition ",2008,"ASPYR MEDIA INC.
CENEGA POLAND SP. Z O.O.
DEEP SILVER
","WINDOWS
"
"177 ",1986,"DB-SOFT
MACADAMIA SOFT
","PC-88
SHARP X1
"
"1815 ",1984,"COBRA SOFT
","AMSTRAD CPC
ORIC
THOMSON TO
"
"1830: Railroads & Robber Barons ",1995,"THE AVALON HILL GAME COMPANY
","DOS
"
"1848 ",2006,"BATTLEFRONT.COM INC.
MATRIX GAMES LTD.
","WINDOWS
"
"1849 Gold Rush ",2003,"CSP MOBILE GMBH
","MOPHUN
"
"1869 ",1992,"FLAIR SOFTWARE LTD.
MAX DESIGN GESMBH
","AMIGA
DOS
"
"187: Ride or Die ",2005,"UBISOFT ENTERTAINMENT SA
UBISOFT INC.
","PLAYSTATION 2
XBOX
"
"1893: A World's Fair Mystery ",2003,"ILLUMINATED LANTERN
THE
","MACINTOSH
WINDOWS
"
"18 Wheels of Steel: Across America ",2003,"AKELLA
BUKA ENTERTAINMENT
SUNSTORM INTERACTIVE INC.
VALUSOFT INC.
","WINDOWS
"
"18 Wheels of Steel: American Long Haul ",2007,"VALUSOFT INC.
","WINDOWS
"
"18 Wheels of Steel: Convoy ",2005,"VALUSOFT INC.
","WINDOWS
"
"18 Wheels of Steel: Extreme Trucker ",2009,"AK TRONIC SOFTWARE & SERVICES GMBH
RONDOMEDIA MARKETING & VERTRIEBS GMBH
VALUSOFT INC.
","WINDOWS
"
"18 Wheels of Steel: Gold Edition ",2009,"AK TRONIC SOFTWARE & SERVICES GMBH
VALUSOFT INC.
","WINDOWS
"
"18 Wheels of Steel: Haulin' ",2006,"VALUSOFT INC.
","WINDOWS
"
"18 Wheels of Steel: Pedal to the Metal ",2004,"AKELLA
BUKA ENTERTAINMENT
THQ INC.
VALUSOFT INC.
","WINDOWS
"
"1912: Titanic Mystery ",2009,"21 ROCKS
LLC
AK TRONIC SOFTWARE & SERVICES GMBH
BIG FISH GAMES INC
FOREIGN MEDIA GAMES
MICRO APPLICATION
S.A.
PURPLE HILLS
SPINTOP GAMES
","MACINTOSH
NINTENDO DS
WINDOWS
"
"1914: Shells of Fury ",2006,"RONDOMEDIA MARKETING & VERTRIEBS GMBH
STRATEGY FIRST INC.
","WINDOWS
"
"1914: The Great War ",2002,"JOWOOD PRODUCTIONS SOFTWARE AG
","WINDOWS
"
"1916: Der unbekannte Krieg ",2011,"DET DANSKE AKADEMI FOR DIGITAL
INTERAKTIV UNDERHOLDNING FILMSKOLEN
","BROWSER
MACINTOSH
WINDOWS
"
"19-2: Op?ration Antigang ",2013,"PRODUCTIONS 19-2 INC.
","BROWSER
"
"1931: Scheherazade at the Library of Pergamum ",2012,"UNKNOWN PUBLISHER{S}
","WINDOWS
"
"1939-1945: Krieg an allen Fronten ",2009,"MEDIA VERLAGSGESELLSCHAFT MBH
","WINDOWS
"
"193 sovereign countries in 15 minutes ",2007,"UNKNOWN PUBLISHER{S}
","BROWSER
"
"1941: Counter Attack ",1990,"CAPCOM CO. LTD.
CAPCOM U.S.A. INC.
HUDSON SOFT COMPANY LTD.
","ARCADE
SUPERGRAFX
"
"1941: Frozen Front ",2004,"HANDY-GAMES GMBH
","J2ME
"
"1942 ",1984,"ASCII CORPORATION
CAPCOM CO. LTD.
CAPCOM ENTERTAINMENT INC.
CAPCOM U.S.A. INC.
CE EUROPE LTD.
ELITE SYSTEMS LTD.
ENCORE
LIVING MOBILE GMBH
NINTENDO OF AMERICA INC.
ZAFIRO
ZEMINA CO.
","AMSTRAD CPC
ARCADE
BREW
COMMODORE 64
FM-7
GAME BOY COLOR
J2ME
MSX
NES
PC-88
PLAYSTATION 3
SHARP X1
WII
WINDOWS
WINDOWS MOBILE
XBOX 360
ZX SPECTRUM
"
"1942: Joint Strike ",2008,"CAPCOM ENTERTAINMENT INC.
","PLAYSTATION 3
XBOX 360
"
"1942: The Pacific Air War ",1994,"MICROPROSE SOFTWARE INC.
MICROPROSE LTD.
","DOS
"
"1942: The Pacific Air War Gold ",1994,"MICROPROSE SOFTWARE INC.
MICROPROSE LTD.
","WINDOWS 3.X
"
"1942: The Pacific Air War Scenario ",1995,"MICROPROSE SOFTWARE INC.
","DOS
"
"1943 Kai ",1990,"CAPCOM CO. LTD.
NAXAT SOFT
","ARCADE
TURBOGRAFX-16
"
"1943: The Battle of Midway ",1987,"CAPCOM CO. LTD.
CAPCOM ENTERTAINMENT INC.
CAPCOM U.S.A. INC.
ERBE SOFTWARE
S.A.
GO!
KIXX
","AMIGA
AMSTRAD CPC
ARCADE
ATARI ST
COMMODORE 64
NES
XBOX 360
ZX SPECTRUM
"
"1945 AirWar ",2004,"UNKNOWN PUBLISHER{S}
","J2ME
"
"1945 I & II: The Arcade Games ",2004,"PLAY IT LTD.
SYSTEM 3 SOFTWARE LIMITED
","PLAYSTATION 2
PLAYSTATION 3
"
"1954: Alcatraz ",2014,"DAEDALIC ENTERTAINMENT GMBH
","MACINTOSH
WINDOWS
"
"1955 - The Secret Mission ",2005,"UNKNOWN PUBLISHER{S}
","J2ME
"
"1985: The Day After ",1985,"MASTERTRONIC LTD.
","COMMODORE 64
ZX SPECTRUM
"
"1990: Die 1993'er Edition ",1993,"APC&TCP
","AMIGA
"
"1991 Du Ma Racing ",1991,"SUPER MEGA
","NES
"
"1993tris ",1993,"UNKNOWN PUBLISHER{S}
","DOS
"
"1994Pool+ ",1994,"NINANO SOFTWARE CO.
","DOS
"
"1994 Ten Years After ",1983,"VISIONS
","SOFTWARE FACTORY
"
"1999: Hore, Mita koto ka! Seikimatsu ",1992,"COCONUTS JAPAN ENTERTAINMENT CO. LTD.
","NES
"
"19 Part 1: Boot Camp ",1988,"CASCADE GAMES LTD.
","COMMODORE 64
ZX SPECTRUM
"
"19XX: The War Against Destiny ",1996,"CAPCOM CO. LTD.
CAPCOM U.S.A. INC.
","ARCADE
"
"1C Complete Collection ",2010,"1C COMPANY
","WINDOWS
"
"1Check ",2004,"UNKNOWN PUBLISHER{S}
","WINDOWS
"
"1 Day a Mosquito ",2006,"UNKNOWN PUBLISHER{S}
","WINDOWS
"
"1-i ",2007,"ULTIMATEARCADE.COM
","BROWSER
"
"1Key Minigolf ",2005,"GENERATION STARS
","WINDOWS
"
"1Key Rocket Launcher ",2005,"GENERATION STARS
","WINDOWS
"
"1k-mini-bdash ",2008,"UNKNOWN PUBLISHER{S}
","COMMODORE 64
"
"1K ZX Chess ",1982,"ARTIC COMPUTING LTD
SINCLAIR RESEARCH LTD.
","ZX81
"
"1 Moment of Time: Silentville ",2012,"BIG FISH GAMES INC
","WINDOWS
"
"1NSANE ",2000,"CODEMASTERS
CODEMASTERS SOFTWARE COMPANY LIMITED
THE
SOLD OUT SALES & MARKETING LTD.
","WINDOWS
"
"1 on 1 ",1998,"D3PUBLISHER INC.
JORUDAN CO. LTD.
","PLAYSTATION
PLAYSTATION 3
PSP
"
"1st Division Manager ",1991,"CODEMASTERS
CODEMASTERS SOFTWARE COMPANY LIMITED
THE
","AMIGA
AMSTRAD CPC
ATARI ST
COMMODORE 64
ZX SPECTRUM
"
"1st Person Pinball ",1989,"TYNESOFT COMPUTER SOFTWARE
","AMIGA
ATARI ST
DOS
"
"1 Ton ",1996,"UNKNOWN PUBLISHER{S}
","DOS
"
"20,000 Leagues Under the Sea ",1988,"COKTEL VISION
","AMIGA
AMSTRAD CPC
ATARI ST
DOS
"
"20,000 Leagues Under the Sea: Captain Nemo ",2009,"ANUMAN INTERACTIVE SA
GAME FACTORY INTERACTIVE LTD.
RUSSOBIT-M
","IPAD
IPHONE
MACINTOSH
WINDOWS
"
"2001 Alien Combat ",2000,"CURSOFT@
","WINDOWS
"
"2002 FIFA World Cup ",2002,"ELECTRONIC ARTS INC.
ELECTRONIC ARTS SQUARE
K.K.
","GAMECUBE
PLAYSTATION
PLAYSTATION 2
WINDOWS
XBOX
"
"2004 Long Jump ",2004,"MOBILE2WIN LTD.
","J2ME
"
"2004 Real Soccer ",2004,"GAMELOFT S.A.
","J2ME
"
"2004: Space Becherovka ",2004,"DAST
","WINDOWS
"
"2005 MiniGame MultiCart ",2005,"ATARIAGE
","ATARI 2600
"
"2005 Real Soccer ",2005,"GAMELOFT S.A.
","J2ME
"
"2005 Traffic ",2005,"JUST FLIGHT LTD
","WINDOWS
"
"2006 Real Soccer ",2006,"GAMELOFT S.A.
","DOJA
J2ME
"
"2010 FIFA World Cup South Africa ",2010,"ELECTRONIC ARTS INC.
","PLAYSTATION 3
XBOX 360
"
"2010: The Graphic Action Game ",1984,"COLECO INDUSTRIES INC.
","COLECOVISION
"
"2020 Special Ops ",2005,"CONCRETE SOFTWARE INC.
","J2ME
"
"2025: Battle for Fatherland ",2010,"AKELLA
","WINDOWS
"
"2060 Cyber Racer ",2009,"UNKNOWN PUBLISHER{S}
","XBOX 360
"
"2088 ",1988,"ZEPPELIN GAMES LIMITED
","ZX SPECTRUM
"
"20 em 1 ",1995,"TEC TOY IND?STRIA DE BRINQUEDOS S.A.
","SEGA MASTER SYSTEM
"
"20 Giant Games ",1997,"BEAU JOLLY
","DOS
"
"20 Mega Games ",1997,"EMPIRE INTERACTIVE EUROPE LTD.
","DOS
"
"20 Pferdespiele ",2006,"TOPOS VERLAG GMBH
","WINDOWS
"
"20 Squares ",1995,"UNKNOWN PUBLISHER{S}
","WINDOWS
"
"2112 - A Field Trip ",2001,"UNKNOWN PUBLISHER{S}
","WINDOWS
"
"2176 Supernova Storm ",2009,"UNKNOWN PUBLISHER{S}
","XBOX 360
"
"21: Blackjack ",2010,"DIGITAL LEISURE INC.
","NINTENDO DSI
"
"21-en ",1991,"HVB
","DOS
"
"21 Gewinnt ",1992,"UNKNOWN PUBLISHER{S}
","DOS
"
"221 B Baker St. ",1986,"DATASOFT INC.
","APPLE II
ATARI 8-BIT
ATARI ST
COMMODORE 64
DOS
"
"2400 A.D. ",1987,"ORIGIN SYSTEMS INC.
","APPLE II
DOS
"
"24 Tested Ready-To-Run Game Programs in BASIC ",1978,"TAB BOOKS
","COMMODORE PET/CBM
TRS-80
"
"24: The Game ",2006,"2K GAMES INC.
SONY COMPUTER ENTERTAINMENT EUROPE LTD.
","PLAYSTATION 2
"
"25,000 Sudoku Puzzles ",2005,"FOCUS MULTIMEDIA LTD.
","WINDOWS
"
"25 to Life ",2006,"EIDOS INTERACTIVE LTD.
NOVIY DISK
","PLAYSTATION 2
WINDOWS
XBOX
"
"2Fast 2Furious ",2002,"XISTER
","J2ME
"
"2 for 1: Riddle of the Sphinx & Riddle of the Sphinx II ",2004,"THE ADVENTURE COMPANY
","WINDOWS
"
"2 for 1: The Messenger & Traitors Gate ",2004,"THE ADVENTURE COMPANY
","WINDOWS
"
"2 for 1: The Mystery of the Nautilus / The New Adventures of the Time Machine ",2004,"THE ADVENTURE COMPANY
","WINDOWS
"
"2 For You Game Pack: Super Aneurysm! / Pop Pop Pop! ",2006,"VALUSOFT INC.
","WINDOWS
"
"2 Games In 1: Cartoon Network Block Party & Cartoon Network Speedway ",2005,"MAJESCO SALES INC.
","GAME BOY ADVANCE
"
"2 Games in 1: Columns Crown + ChuChu Rocket! ",2005,"THQ INC.
","GAME BOY ADVANCE
"
"2 Games in 1: Disney Princess + Disney's The Lion King 1 ? ",2004,"THQ INC.
","GAME BOY ADVANCE
"
"2 Games in 1: GT 3 Advance: Pro Concept Racing + Moto GP: Ultimate Racing Technology ",2004,"THQ INC.
","GAME BOY ADVANCE
"
"2 Games in 1: Power Rangers: Time Force / Power Rangers: Ninja Storm ",2005,"THQ INC.
","GAME BOY ADVANCE
"
"2 Games in 1: SpongeBob SquarePants - Battle for Bikini Bottom + SpongeBob SquarePants - Supersponge ",2004,"THQ INC.
","GAME BOY ADVANCE
"
"2 Good 2 Be True: Volume 1 ",1997,"SIERRA ON-LINE INC.
","WINDOWS
"
"2 Hot 2 Handle ",1991,"OCEAN SOFTWARE LTD.
","AMIGA
ATARI ST
COMMODORE 64
ZX SPECTRUM
"
"2 in 1: Cross High & Block Buster ",1992,"WATARA
","SUPERVISION
"
"2 in 1: DreamWorks' Shark Tale + Shrek 2 ",2005,"ACTIVISION DEUTSCHLAND GMBH
ACTIVISION PUBLISHING INC.
","GAME BOY ADVANCE
"
"2 in 1 Game Pack: Spider-Man: Mysterio's Menace / X2: Wolverine's Revenge ",2005,"ACTIVISION PUBLISHING INC.
","GAME BOY ADVANCE
"
"2 in 1: Hash Block & Eagle Plan ",1992,"WATARA
","SUPERVISION
"
"2in1 Pack: Battle Arena Toshinden - Fatal Fury 3 ",1999,"SWING! ENTERTAINMENT SOFTWARE GMBH
","WINDOWS
"
"2in1 Pack: Bundesliga Manager Gold - Eishockey Manager ",1999,"SWING! ENTERTAINMENT MEDIA AG
","DOS
"
"2in1 Pack: Dragon's Lair - Space Ace ",1998,"SWING! ENTERTAINMENT SOFTWARE GMBH
","WINDOWS
"
"2in1 Pack: Dream Team 98 - ranSoccer ",1998,"SWING! ENTERTAINMENT SOFTWARE GMBH
","WINDOWS
"
"2in1 Pack: Hanse: Die Expedition - Der Patrizier ",1998,"SWING! ENTERTAINMENT SOFTWARE GMBH
","WINDOWS
"
"2in1 Pack: Jack Nicklaus 4 - Tennis Manager ",1999,"SWING! ENTERTAINMENT SOFTWARE GMBH
","WINDOWS
"
"2 in1 Pack - Jack Nicklaus 5 + Daley Thompson's Decathlon ",1999,"SWING! ENTERTAINMENT SOFTWARE GMBH
","WINDOWS
"
"2in1 Pack: St. Thomas - Elisabeth I. ",1999,"SWING! ENTERTAINMENT SOFTWARE GMBH
","DOS
"
"2 in 1: V-Rally 3 + Stuntman ",2005,"ATARI EUROPE S.A.S.U.
","GAME BOY ADVANCE
"
"2in1: Zirkus Tycoon + Airline Tycoon Deluxe ",2006,"HALYCON MEDIA GMBH & CO. KG
","WINDOWS
"
"2K Essentials Collection: BioShock / Borderlands / XCOM: Enemy Unknown ",2013,"2K GAMES INC.
","PLAYSTATION 3
XBOX 360
"
"2K-Fighter ",1992,"64'ER
","COMMODORE 64
"
"2K Huge Game Pack ",2009,"2K GAMES INC.
","WINDOWS
"
